st_time,ed_time,fault_type,root_cause,filename
2023-03-21T21:15:01,2023-03-21T21:21:00,pod-http-request-delay@pod-http-request-delay,ts-consign-price-service-c5f7dc849-cs9b5@ts-train-food-service-9557b666c-7lb6q,2023-03-21T21:15:01_2023-03-21T21:21:00
2023-03-21T21:30:02,2023-03-21T21:36:00,pod-http-request-delay@pod-http-request-delay,ts-contacts-service-7586d57c67-vpwvv@ts-order-other-service-5b5666cd96-cmcgx,2023-03-21T21:30:02_2023-03-21T21:36:00
2023-03-21T21:45:00,2023-03-21T21:51:00,pod-http-request-delay@pod-http-request-delay,ts-price-service-64bb4958f7-b7rn5@ts-route-plan-service-7bc6d9959f-jmhgf,2023-03-21T21:45:00_2023-03-21T21:51:00
