st_time,ed_time,fault_type,root_cause,filename
2023-04-24T19:30:43,2023-04-24T19:36:00,api-delay@api-delay,ts-verification-code-service-74447dff85-jwfj7 verifycode.controller.VerifyCodeController imageCode@ts-verification-code-service-74447dff85-sbhcm verifycode.controller.VerifyCodeController imageCode,2023-04-24T19:30:43_2023-04-24T19:36:00
2023-04-24T19:45:04,2023-04-24T19:51:00,api-delay@api-delay,ts-rebook-service-7d69b45f79-wfrn7 rebook.controller.RebookController rebook@ts-rebook-service-7d69b45f79-62npw rebook.controller.RebookController rebook,2023-04-24T19:45:04_2023-04-24T19:51:00
2023-04-24T20:01:00,2023-04-24T20:06:00,api-delay@api-delay,ts-cancel-service-646644ddf4-c6mcb cancel.controller.CancelController calculate@ts-cancel-service-646644ddf4-r5nf8 cancel.controller.CancelController calculate,2023-04-24T20:01:00_2023-04-24T20:06:00
2023-04-24T20:16:05,2023-04-24T20:21:00,api-delay@api-delay,ts-consign-service-97b57cdf6-vtkxm consign.controller.ConsignController findByOrderId@ts-consign-service-97b57cdf6-f7f2q consign.controller.ConsignController findByOrderId,2023-04-24T20:16:05_2023-04-24T20:21:00
2023-04-24T20:30:57,2023-04-24T20:36:00,api-delay@api-delay,ts-preserve-other-service-58bb58c679-7gsnw preserveOther.controller.PreserveOtherController preserve@ts-preserve-other-service-58bb58c679-hjn96 preserveOther.controller.PreserveOtherController preserve,2023-04-24T20:30:57_2023-04-24T20:36:00
2023-04-24T20:45:43,2023-04-24T20:51:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-train-food-service-9557b666c-szwrm mysql-select@ts-train-food-service-9557b666c-pvgll mysql-select,2023-04-24T20:45:43_2023-04-24T20:51:00
2023-04-24T21:00:55,2023-04-24T21:06:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-price-service-64bb4958f7-8mwzx mysql-delete@ts-price-service-64bb4958f7-dc4cx mysql-delete,2023-04-24T21:00:55_2023-04-24T21:06:00
2023-04-24T21:15:50,2023-04-24T21:21:00,pod-mysql-delay@pod-mysql-delay,ts-config-service-7578bd9cf7-d6rv6 mysql-all@ts-config-service-7578bd9cf7-626rg mysql-all,2023-04-24T21:15:50_2023-04-24T21:21:00
2023-04-24T21:30:56,2023-04-24T21:36:00,pod-mysql-delay@pod-mysql-delay,ts-travel-service-86bc99b94f-s6gtf mysql-all@ts-travel-service-86bc99b94f-zmzfb mysql-all,2023-04-24T21:30:56_2023-04-24T21:36:00
2023-04-24T21:45:52,2023-04-24T21:51:00,pod-mysql-delay@pod-mysql-delay,ts-inside-payment-service-59c4bc8bb7-8jldp mysql-all@ts-inside-payment-service-59c4bc8bb7-4h47p mysql-all,2023-04-24T21:45:52_2023-04-24T21:51:00
2023-04-24T22:01:06,2023-04-24T22:06:00,pod-rabbitmq-delay@pod-rabbitmq-delay,ts-food-service-57ff7645dc-4m6j4 rabbitmq-producer@ts-food-service-57ff7645dc-5k6jb rabbitmq-producer,2023-04-24T22:01:06_2023-04-24T22:06:00
