st_time,ed_time,fault_type,root_cause,filename
2023-03-22T11:30:03,2023-03-22T11:36:00,pod-http-request-delay@pod-typed-mysql-delay,ts-train-food-service-9557b666c-w5d85@ts-station-service-666c97f68d-46t8x mysql-insert,2023-03-22T11:30:03_2023-03-22T11:36:00
2023-03-22T11:45:03,2023-03-22T11:51:00,pod-http-request-delay@pod-typed-mysql-delay,ts-consign-service-97b57cdf6-7569t@ts-price-service-64bb4958f7-4zx5m mysql-update,2023-03-22T11:45:03_2023-03-22T11:51:00
2023-03-22T12:01:14,2023-03-22T12:06:00,pod-http-request-delay@pod-typed-mysql-delay,ts-route-plan-service-7bc6d9959f-jmhgf@ts-security-service-677c5578f7-bs49g mysql-select,2023-03-22T12:01:14_2023-03-22T12:06:00
