st_time,ed_time,fault_type,root_cause,filename
2023-03-21T18:46:31,2023-03-21T18:51:00,api-delay@api-delay,ts-preserve-service-56548b8fd4-8k877 preserve.controller.PreserveController preserve@ts-consign-service-97b57cdf6-7569t consign.controller.ConsignController findByOrderId,2023-03-21T18:46:31_2023-03-21T18:51:00
2023-03-21T19:01:01,2023-03-21T19:06:00,api-delay@api-delay,ts-rebook-service-7d69b45f79-m6jpr rebook.controller.RebookController rebook@ts-preserve-other-service-58bb58c679-nf784 preserveOther.controller.PreserveOtherController preserve,2023-03-21T19:01:01_2023-03-21T19:06:00
2023-03-21T19:16:06,2023-03-21T19:21:00,api-delay@api-delay,ts-cancel-service-646644ddf4-7h9fj cancel.controller.CancelController calculate@ts-execute-service-74b9955ddc-rc2jp execute.controller.ExecuteControlller executeTicket,2023-03-21T19:16:06_2023-03-21T19:21:00
2023-03-21T19:31:16,2023-03-21T19:36:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-order-service-5c8b698d7b-dtflc mysql-select@ts-station-service-666c97f68d-46t8x mysql-select,2023-03-21T19:31:16_2023-03-21T19:36:00
2023-03-21T20:31:18,2023-03-21T20:36:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-price-service-64bb4958f7-4zx5m mysql-delete@ts-travel-service-86bc99b94f-dlfrr mysql-select,2023-03-21T20:31:18_2023-03-21T20:36:00
2023-03-21T20:46:01,2023-03-21T20:51:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-station-service-666c97f68d-46t8x mysql-select@ts-order-other-service-5b5666cd96-6nphm mysql-select,2023-03-21T20:46:01_2023-03-21T20:51:00
2023-03-21T21:15:01,2023-03-21T21:21:00,pod-http-request-delay@pod-http-request-delay,ts-consign-price-service-c5f7dc849-cs9b5@ts-train-food-service-9557b666c-7lb6q,2023-03-21T21:15:01_2023-03-21T21:21:00
2023-03-21T21:30:02,2023-03-21T21:36:00,pod-http-request-delay@pod-http-request-delay,ts-contacts-service-7586d57c67-vpwvv@ts-order-other-service-5b5666cd96-cmcgx,2023-03-21T21:30:02_2023-03-21T21:36:00
2023-03-21T21:45:00,2023-03-21T21:51:00,pod-http-request-delay@pod-http-request-delay,ts-price-service-64bb4958f7-b7rn5@ts-route-plan-service-7bc6d9959f-jmhgf,2023-03-21T21:45:00_2023-03-21T21:51:00
2023-03-21T22:15:06,2023-03-21T22:21:00,api-delay@pod-typed-mysql-delay,ts-preserve-other-service-58bb58c679-nf784 preserveOther.controller.PreserveOtherController preserve@ts-consign-service-97b57cdf6-7569t mysql-update,2023-03-21T22:15:06_2023-03-21T22:21:00
2023-03-21T22:30:56,2023-03-21T22:36:00,pod-typed-mysql-delay@api-delay,ts-order-other-service-5b5666cd96-6nphm mysql-select@ts-config-service-7578bd9cf7-bb8cq config.controller.ConfigController retrieve,2023-03-21T22:30:56_2023-03-21T22:36:00
2023-03-21T22:45:06,2023-03-21T22:51:00,pod-typed-mysql-delay@api-delay,ts-price-service-64bb4958f7-4zx5m mysql-delete@ts-consign-service-97b57cdf6-7569t consign.controller.ConsignController findByOrderId,2023-03-21T22:45:06_2023-03-21T22:51:00
2023-03-22T10:15:04,2023-03-22T10:21:00,pod-http-request-delay@api-delay,ts-order-other-service-5b5666cd96-6nphm@ts-cancel-service-646644ddf4-7h9fj cancel.controller.CancelController cancelTicket,2023-03-22T10:15:04_2023-03-22T10:21:00
2023-03-22T10:30:47,2023-03-22T10:36:00,pod-http-request-delay@api-delay,ts-travel2-service-686c895647-gmzrn@ts-admin-basic-info-service-595db5b9cf-8j4x2 adminbasic.controller.AdminBasicInfoController getAllPrices,2023-03-22T10:30:47_2023-03-22T10:36:00
2023-03-22T10:45:03,2023-03-22T10:51:00,pod-http-request-delay@api-delay,ts-price-service-64bb4958f7-4zx5m@ts-rebook-service-7d69b45f79-m6jpr rebook.controller.RebookController payDifference,2023-03-22T10:45:03_2023-03-22T10:51:00
2023-03-22T11:30:03,2023-03-22T11:36:00,pod-http-request-delay@pod-typed-mysql-delay,ts-train-food-service-9557b666c-w5d85@ts-station-service-666c97f68d-46t8x mysql-insert,2023-03-22T11:30:03_2023-03-22T11:36:00
2023-03-22T11:45:03,2023-03-22T11:51:00,pod-http-request-delay@pod-typed-mysql-delay,ts-consign-service-97b57cdf6-7569t@ts-price-service-64bb4958f7-4zx5m mysql-update,2023-03-22T11:45:03_2023-03-22T11:51:00
2023-03-22T12:01:14,2023-03-22T12:06:00,pod-http-request-delay@pod-typed-mysql-delay,ts-route-plan-service-7bc6d9959f-jmhgf@ts-security-service-677c5578f7-bs49g mysql-select,2023-03-22T12:01:14_2023-03-22T12:06:00
