st_time,ed_time,fault_type,root_cause,filename
2023-03-21T11:31:00,2023-03-21T11:36:00,api-delay@api-delay,ts-preserve-service-56548b8fd4-56d48 preserve.controller.PreserveController preserve@ts-consign-service-97b57cdf6-5jbpn consign.controller.ConsignController findByOrderId,2023-03-21T11:31:00_2023-03-21T11:36:00
2023-03-21T11:45:57,2023-03-21T11:51:00,api-delay@api-delay,ts-rebook-service-7d69b45f79-nbxzx rebook.controller.RebookController rebook@ts-preserve-other-service-58bb58c679-hs4fh preserveOther.controller.PreserveOtherController preserve,2023-03-21T11:45:57_2023-03-21T11:51:00
2023-03-21T12:01:06,2023-03-21T12:06:00,api-delay@api-delay,ts-execute-service-74b9955ddc-ghktt execute.controller.ExecuteControlller executeTicket@ts-cancel-service-646644ddf4-8ntwk cancel.controller.CancelController calculate,2023-03-21T12:01:06_2023-03-21T12:06:00
2023-03-21T12:16:01,2023-03-21T12:21:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-consign-service-97b57cdf6-5jbpn mysql-insert@ts-delivery-service-7ff949f98f-cw4fk mysql-insert,2023-03-21T12:16:01_2023-03-21T12:21:00
2023-03-21T12:31:10,2023-03-21T12:36:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-order-service-5c8b698d7b-n79xf mysql-delete@ts-price-service-64bb4958f7-jnntm mysql-delete,2023-03-21T12:31:10_2023-03-21T12:36:00
2023-03-21T12:46:01,2023-03-21T12:51:00,pod-typed-mysql-delay@pod-typed-mysql-delay,ts-consign-service-97b57cdf6-5jbpn mysql-update@ts-order-other-service-5b5666cd96-kwb7t mysql-select,2023-03-21T12:46:01_2023-03-21T12:51:00
2023-03-21T13:00:02,2023-03-21T13:06:00,pod-http-request-delay@pod-http-request-delay,ts-contacts-service-7586d57c67-rjdbn@ts-order-other-service-5b5666cd96-sjw45,2023-03-21T13:00:02_2023-03-21T13:06:00
2023-03-21T13:15:03,2023-03-21T13:21:00,pod-http-request-delay@pod-http-request-delay,ts-consign-price-service-c5f7dc849-trjdk@ts-train-food-service-9557b666c-6lp2l,2023-03-21T13:15:03_2023-03-21T13:21:00
2023-03-21T13:30:00,2023-03-21T13:36:00,pod-http-request-delay@pod-http-request-delay,ts-route-plan-service-7bc6d9959f-bnrh6@ts-price-service-64bb4958f7-jnntm,2023-03-21T13:30:00_2023-03-21T13:36:00
2023-03-21T13:45:05,2023-03-21T13:51:00,pod-typed-mysql-delay@api-delay,ts-price-service-64bb4958f7-jnntm mysql-delete@ts-consign-service-97b57cdf6-5jbpn consign.controller.ConsignController findByOrderId,2023-03-21T13:45:05_2023-03-21T13:51:00
2023-03-21T14:00:05,2023-03-21T14:06:00,pod-typed-mysql-delay@api-delay,ts-consign-service-97b57cdf6-5jbpn mysql-update@ts-preserve-other-service-58bb58c679-hs4fh preserveOther.controller.PreserveOtherController preserve,2023-03-21T14:00:05_2023-03-21T14:06:00
2023-03-21T14:15:57,2023-03-21T14:21:00,pod-typed-mysql-delay@api-delay,ts-order-other-service-5b5666cd96-kwb7t mysql-select@ts-config-service-7578bd9cf7-4fj5z config.controller.ConfigController retrieve,2023-03-21T14:15:57_2023-03-21T14:21:00
2023-03-21T14:30:03,2023-03-21T14:36:00,pod-http-request-delay@api-delay,ts-order-other-service-5b5666cd96-kwb7t@ts-cancel-service-646644ddf4-8ntwk cancel.controller.CancelController cancelTicket,2023-03-21T14:30:03_2023-03-21T14:36:00
2023-03-21T14:45:45,2023-03-21T14:51:00,pod-http-request-delay@api-delay,ts-travel2-service-686c895647-g5wjw@ts-admin-basic-info-service-595db5b9cf-qwxjm adminbasic.controller.AdminBasicInfoController getAllPrices,2023-03-21T14:45:45_2023-03-21T14:51:00
2023-03-21T15:00:03,2023-03-21T15:06:00,pod-http-request-delay@api-delay,ts-price-service-64bb4958f7-rlczc@ts-rebook-service-7d69b45f79-nbxzx rebook.controller.RebookController payDifference,2023-03-21T15:00:03_2023-03-21T15:06:00
2023-03-21T15:15:52,2023-03-21T15:21:00,pod-http-request-delay@pod-typed-mysql-delay,ts-train-food-service-9557b666c-6lp2l@ts-station-service-666c97f68d-98hd7 mysql-insert,2023-03-21T15:15:52_2023-03-21T15:21:00
2023-03-21T15:30:02,2023-03-21T15:36:00,pod-http-request-delay@pod-typed-mysql-delay,ts-consign-service-97b57cdf6-5jbpn@ts-price-service-64bb4958f7-jnntm mysql-update,2023-03-21T15:30:02_2023-03-21T15:36:00
2023-03-21T15:45:50,2023-03-21T15:51:00,pod-http-request-delay@pod-typed-mysql-delay,ts-route-plan-service-7bc6d9959f-bnrh6@ts-security-service-677c5578f7-fgm2l mysql-select,2023-03-21T15:45:50_2023-03-21T15:51:00
