st_time,ed_time,fault_type,root_cause,filename
2023-03-22T10:15:04,2023-03-22T10:21:00,pod-http-request-delay@api-delay,ts-order-other-service-5b5666cd96-6nphm@ts-cancel-service-646644ddf4-7h9fj cancel.controller.CancelController cancelTicket,2023-03-22T10:15:04_2023-03-22T10:21:00
2023-03-22T10:30:47,2023-03-22T10:36:00,pod-http-request-delay@api-delay,ts-travel2-service-686c895647-gmzrn@ts-admin-basic-info-service-595db5b9cf-8j4x2 adminbasic.controller.AdminBasicInfoController getAllPrices,2023-03-22T10:30:47_2023-03-22T10:36:00
2023-03-22T10:45:03,2023-03-22T10:51:00,pod-http-request-delay@api-delay,ts-price-service-64bb4958f7-4zx5m@ts-rebook-service-7d69b45f79-m6jpr rebook.controller.RebookController payDifference,2023-03-22T10:45:03_2023-03-22T10:51:00
