st_time,ed_time,fault_type,root_cause,filename
2023-02-28T12:30:04,2023-02-28T12:36:00,pod-pod-network-delay,ts-seat-service-bd95445c9-mgghs ts-order-service-5c8b698d7b-nqdfp,2023-02-28T12:30:04_2023-02-28T12:36:00
2023-02-28T12:45:04,2023-02-28T12:51:00,pod-pod-network-delay,ts-preserve-service-56548b8fd4-jzht5 ts-seat-service-bd95445c9-mgghs,2023-02-28T12:45:04_2023-02-28T12:51:00
2023-02-28T13:00:04,2023-02-28T13:06:00,pod-pod-network-delay,ts-basic-service-dc47b9966-bb4xt ts-route-service-cd8474f97-4bcx9,2023-02-28T13:00:04_2023-02-28T13:06:00
2023-02-28T13:15:04,2023-02-28T13:21:00,pod-pod-network-delay,ts-basic-service-dc47b9966-bb4xt ts-train-service-59d7f678c7-k2c2d,2023-02-28T13:15:04_2023-02-28T13:21:00
2023-02-28T13:30:04,2023-02-28T13:36:00,pod-pod-network-delay,ts-preserve-service-56548b8fd4-jzht5 ts-order-service-5c8b698d7b-nqdfp,2023-02-28T13:30:04_2023-02-28T13:36:00
2023-02-28T13:45:05,2023-02-28T13:51:00,pod-pod-network-delay,ts-execute-service-74b9955ddc-kk55v ts-order-other-service-5b5666cd96-lz8bk,2023-02-28T13:45:05_2023-02-28T13:51:00
2023-02-28T14:00:04,2023-02-28T14:06:00,pod-pod-network-delay,ts-admin-basic-info-service-595db5b9cf-dszzg ts-station-service-666c97f68d-glvt7,2023-02-28T14:00:04_2023-02-28T14:06:00
2023-02-28T14:15:04,2023-02-28T14:21:00,pod-pod-network-delay,ts-rebook-service-7d69b45f79-5r5lm ts-travel-service-86bc99b94f-6gsdj,2023-02-28T14:15:04_2023-02-28T14:21:00
