st_time,ed_time,fault_type,root_cause,filename
2023-03-03T10:15:50,2023-03-03T10:21:00,api-delay,ts-consign-service-97b57cdf6-lhmgp consign.controller.ConsignController findByOrderId,2023-03-03T10:15:50_2023-03-03T10:21:00
2023-03-03T10:30:46,2023-03-03T10:36:00,api-delay,ts-preserve-service-56548b8fd4-7vxcd preserve.controller.PreserveController preserve,2023-03-03T10:30:46_2023-03-03T10:36:00
2023-03-03T10:45:47,2023-03-03T10:51:00,api-delay,ts-preserve-other-service-58bb58c679-ns56c preserveOther.controller.PreserveOtherController preserve,2023-03-03T10:45:47_2023-03-03T10:51:00
2023-03-03T11:00:48,2023-03-03T11:06:00,api-delay,ts-rebook-service-7d69b45f79-m6rpm rebook.controller.RebookController rebook,2023-03-03T11:00:48_2023-03-03T11:06:00
2023-03-03T11:15:55,2023-03-03T11:21:00,api-delay,ts-config-service-7578bd9cf7-ccgch config.controller.ConfigController retrieve,2023-03-03T11:15:55_2023-03-03T11:21:00
2023-03-03T11:30:54,2023-03-03T11:36:00,api-delay,ts-cancel-service-646644ddf4-f5pp6 cancel.controller.CancelController cancelTicket,2023-03-03T11:30:54_2023-03-03T11:36:00
2023-03-03T11:45:48,2023-03-03T11:51:00,api-delay,ts-admin-basic-info-service-595db5b9cf-flqzn adminbasic.controller.AdminBasicInfoController getAllPrices,2023-03-03T11:45:48_2023-03-03T11:51:00
2023-03-03T12:00:57,2023-03-03T12:06:00,api-delay,ts-execute-service-74b9955ddc-hxh6f execute.controller.ExecuteControlller executeTicket,2023-03-03T12:00:57_2023-03-03T12:06:00
2023-03-03T12:15:03,2023-03-03T12:21:00,api-delay,ts-cancel-service-646644ddf4-f5pp6 cancel.controller.CancelController calculate,2023-03-03T12:15:03_2023-03-03T12:21:00
2023-03-03T12:30:03,2023-03-03T12:36:00,api-delay,ts-rebook-service-7d69b45f79-m6rpm rebook.controller.RebookController payDifference,2023-03-03T12:30:03_2023-03-03T12:36:00
2023-03-03T12:45:58,2023-03-03T12:51:00,pod-mysql-delay,ts-delivery-service-7ff949f98f-66rbh mysql-all,2023-03-03T12:45:58_2023-03-03T12:51:00
2023-03-03T13:00:58,2023-03-03T13:06:00,pod-mysql-delay,ts-payment-service-5fb5487dd5-fvvzx mysql-all,2023-03-03T13:00:58_2023-03-03T13:06:00
2023-03-03T13:15:02,2023-03-03T13:21:00,pod-typed-mysql-delay,ts-consign-service-97b57cdf6-lhmgp mysql-insert,2023-03-03T13:15:02_2023-03-03T13:21:00
2023-03-03T13:30:02,2023-03-03T13:36:00,pod-typed-mysql-delay,ts-delivery-service-7ff949f98f-66rbh mysql-insert,2023-03-03T13:30:02_2023-03-03T13:36:00
2023-03-03T13:46:17,2023-03-03T13:51:00,pod-typed-mysql-delay,ts-station-service-666c97f68d-c5rsb mysql-insert,2023-03-03T13:46:17_2023-03-03T13:51:00
2023-03-03T14:00:57,2023-03-03T14:06:00,pod-typed-mysql-delay,ts-order-service-5c8b698d7b-5d6wh mysql-delete,2023-03-03T14:00:57_2023-03-03T14:06:00
2023-03-03T14:15:57,2023-03-03T14:21:00,pod-typed-mysql-delay,ts-price-service-64bb4958f7-f75s8 mysql-delete,2023-03-03T14:15:57_2023-03-03T14:21:00
2023-03-03T14:30:02,2023-03-03T14:36:00,pod-typed-mysql-delay,ts-config-service-7578bd9cf7-ccgch mysql-delete,2023-03-03T14:30:02_2023-03-03T14:36:00
2023-03-03T14:45:02,2023-03-03T14:51:00,pod-typed-mysql-delay,ts-consign-service-97b57cdf6-lhmgp mysql-update,2023-03-03T14:45:02_2023-03-03T14:51:00
2023-03-03T15:00:02,2023-03-03T15:06:00,pod-typed-mysql-delay,ts-order-service-5c8b698d7b-5d6wh mysql-update,2023-03-03T15:00:02_2023-03-03T15:06:00
2023-03-03T15:15:02,2023-03-03T15:21:00,pod-typed-mysql-delay,ts-price-service-64bb4958f7-f75s8 mysql-update,2023-03-03T15:15:02_2023-03-03T15:21:00
2023-03-03T15:31:06,2023-03-03T15:36:00,pod-typed-mysql-delay,ts-order-other-service-5b5666cd96-6tfmt mysql-select,2023-03-03T15:31:06_2023-03-03T15:36:00
2023-03-03T15:45:03,2023-03-03T15:51:00,pod-typed-mysql-delay,ts-order-service-5c8b698d7b-5d6wh mysql-select,2023-03-03T15:45:03_2023-03-03T15:51:00
2023-03-03T16:01:07,2023-03-03T16:06:00,pod-typed-mysql-delay,ts-security-service-677c5578f7-kb94d mysql-select,2023-03-03T16:01:07_2023-03-03T16:06:00
2023-03-03T16:16:03,2023-03-03T16:21:00,pod-rabbitmq-delay,ts-food-service-57ff7645dc-4nsqs rabbitmq-producer,2023-03-03T16:16:03_2023-03-03T16:21:00
2023-03-03T16:30:03,2023-03-03T16:36:00,jvm-cpu-full,ts-admin-basic-info-service-595db5b9cf-flqzn,2023-03-03T16:30:03_2023-03-03T16:36:00
2023-03-03T16:45:48,2023-03-03T16:51:00,jvm-cpu-full,ts-admin-order-service-77b645d88f-8pqmn,2023-03-03T16:45:48_2023-03-03T16:51:00
2023-03-03T17:00:49,2023-03-03T17:06:00,jvm-cpu-full,ts-admin-route-service-77cd6cf987-29c99,2023-03-03T17:00:49_2023-03-03T17:06:00
