st_time,ed_time,fault_type,root_cause,filename
2023-02-28T15:00:04,2023-02-28T15:06:00,pod-pod-network-delay,ts-preserve-other-service-58bb58c679-5lr2f ts-basic-service-dc47b9966-bb4xt,2023-02-28T15:00:04_2023-02-28T15:06:00
2023-02-28T15:15:04,2023-02-28T15:21:00,pod-pod-network-delay,ts-preserve-service-56548b8fd4-jzht5 ts-contacts-service-7586d57c67-bwk5m,2023-02-28T15:15:04_2023-02-28T15:21:00
2023-02-28T15:30:04,2023-02-28T15:36:00,pod-pod-network-delay,ts-cancel-service-646644ddf4-gt8fx ts-order-other-service-5b5666cd96-lz8bk,2023-02-28T15:30:04_2023-02-28T15:36:00
2023-02-28T15:45:05,2023-02-28T15:51:00,pod-pod-network-delay,ts-admin-travel-service-d5c4d76b4-dhmj4 ts-route-service-cd8474f97-4bcx9,2023-02-28T15:45:05_2023-02-28T15:51:00
2023-02-28T16:00:04,2023-02-28T16:06:00,pod-pod-network-delay,ts-admin-user-service-57fbb896c4-f9p8s ts-user-service-5d65df69b-k82b6,2023-02-28T16:00:04_2023-02-28T16:06:00
2023-02-28T16:15:03,2023-02-28T16:21:00,pod-pod-network-delay,ts-preserve-other-service-58bb58c679-5lr2f ts-security-service-677c5578f7-47m4j,2023-02-28T16:15:03_2023-02-28T16:21:00
2023-02-28T16:30:03,2023-02-28T16:36:00,pod-pod-network-delay,ts-preserve-other-service-58bb58c679-5lr2f ts-travel2-service-686c895647-nsntx,2023-02-28T16:30:03_2023-02-28T16:36:00
2023-02-28T16:45:04,2023-02-28T16:51:00,svc-svc-network-delay,"ts-rebook-service(ts-rebook-service-7d69b45f79-5r5lm,ts-rebook-service-7d69b45f79-rs75j) ts-seat-service(ts-seat-service-bd95445c9-mgghs,ts-seat-service-bd95445c9-sf7pn)",2023-02-28T16:45:04_2023-02-28T16:51:00
2023-02-28T17:00:05,2023-02-28T17:06:00,svc-svc-network-delay,"ts-preserve-service(ts-preserve-service-56548b8fd4-jzht5,ts-preserve-service-56548b8fd4-mrrdw) ts-security-service(ts-security-service-677c5578f7-47m4j,ts-security-service-677c5578f7-gvrmp)",2023-02-28T17:00:05_2023-02-28T17:06:00
2023-02-28T17:15:06,2023-02-28T17:21:00,svc-svc-network-delay,"ts-admin-route-service(ts-admin-route-service-77cd6cf987-29j77,ts-admin-route-service-77cd6cf987-42zhj) ts-station-service(ts-station-service-666c97f68d-glvt7,ts-station-service-666c97f68d-s6rpq)",2023-02-28T17:15:06_2023-02-28T17:21:00
2023-02-28T17:30:04,2023-02-28T17:36:00,svc-svc-network-delay,"ts-preserve-service(ts-preserve-service-56548b8fd4-jzht5,ts-preserve-service-56548b8fd4-mrrdw) ts-user-service(ts-user-service-5d65df69b-k82b6,ts-user-service-5d65df69b-kk6lj)",2023-02-28T17:30:04_2023-02-28T17:36:00
2023-02-28T17:45:05,2023-02-28T17:51:00,svc-svc-network-delay,"ts-basic-service(ts-basic-service-dc47b9966-bb4xt,ts-basic-service-dc47b9966-gqcfl) ts-station-service(ts-station-service-666c97f68d-glvt7,ts-station-service-666c97f68d-s6rpq)",2023-02-28T17:45:05_2023-02-28T17:51:00
