st_time,ed_time,fault_type,root_cause,filename
2023-03-21T22:15:06,2023-03-21T22:21:00,api-delay@pod-typed-mysql-delay,ts-preserve-other-service-58bb58c679-nf784 preserveOther.controller.PreserveOtherController preserve@ts-consign-service-97b57cdf6-7569t mysql-update,2023-03-21T22:15:06_2023-03-21T22:21:00
2023-03-21T22:30:56,2023-03-21T22:36:00,pod-typed-mysql-delay@api-delay,ts-order-other-service-5b5666cd96-6nphm mysql-select@ts-config-service-7578bd9cf7-bb8cq config.controller.ConfigController retrieve,2023-03-21T22:30:56_2023-03-21T22:36:00
2023-03-21T22:45:06,2023-03-21T22:51:00,pod-typed-mysql-delay@api-delay,ts-price-service-64bb4958f7-4zx5m mysql-delete@ts-consign-service-97b57cdf6-7569t consign.controller.ConsignController findByOrderId,2023-03-21T22:45:06_2023-03-21T22:51:00
