uid,tool,ip,fault_type,target,status,st_time,ed_time,filename,cmd
e8f8276f325ea2a0,chaosblade,10.176.122.154,pod-pod-network-drop,ts-preserve-service-56548b8fd4-hvvz7 10.244.195.203,Destroyed,2022-12-02T13:00:01.277074186+08:00,2022-12-02T13:05:02.4721779+08:00,2022-12-02T13:00:01.277074186+08:00_2022-12-02T13:05:02.4721779+08:00,k8s container-network drop  --container-names=ts-preserve-service --kubeconfig=/root/.kube/config --use-sidecar-container-network=true --destination-ip=10.244.195.203 --names=ts-preserve-service-56548b8fd4-hvvz7 --network-traffic=out --namespace=default
fe2fc6df8cfc547b,chaosblade,10.176.122.154,pod-pod-network-drop,ts-seat-service-bd95445c9-h8hx2 10.244.122.118,Destroyed,2022-12-02T13:10:01.159557047+08:00,2022-12-02T13:15:02.476106723+08:00,2022-12-02T13:10:01.159557047+08:00_2022-12-02T13:15:02.476106723+08:00,k8s container-network drop  --network-traffic=out --destination-ip=10.244.122.118 --container-names=ts-seat-service --names=ts-seat-service-bd95445c9-h8hx2 --kubeconfig=/root/.kube/config --namespace=default --use-sidecar-container-network=true
30b0389257351ded,chaosblade,10.176.122.154,pod-pod-network-drop,ts-preserve-service-56548b8fd4-hvvz7 10.244.36.89,Destroyed,2022-12-02T13:20:01.27666866+08:00,2022-12-02T13:25:02.478842993+08:00,2022-12-02T13:20:01.27666866+08:00_2022-12-02T13:25:02.478842993+08:00,k8s container-network drop  --use-sidecar-container-network=true --destination-ip=10.244.36.89 --names=ts-preserve-service-56548b8fd4-hvvz7 --container-names=ts-preserve-service --namespace=default --kubeconfig=/root/.kube/config --network-traffic=out
b90f07f805622cbd,chaosblade,10.176.122.154,pod-pod-network-drop,ts-rebook-service-7d69b45f79-drk6h 10.244.195.255,Destroyed,2022-12-02T13:30:01.326718622+08:00,2022-12-02T13:35:02.536250075+08:00,2022-12-02T13:30:01.326718622+08:00_2022-12-02T13:35:02.536250075+08:00,k8s container-network drop  --container-names=ts-rebook-service --kubeconfig=/root/.kube/config --names=ts-rebook-service-7d69b45f79-drk6h --network-traffic=out --namespace=default --use-sidecar-container-network=true --destination-ip=10.244.195.255
ff123eb44a0c775e,chaosblade,10.176.122.154,pod-pod-network-drop,ts-travel-service-86bc99b94f-2gdsr 10.244.36.105,Destroyed,2022-12-02T13:40:01.272127964+08:00,2022-12-02T13:45:02.518673784+08:00,2022-12-02T13:40:01.272127964+08:00_2022-12-02T13:45:02.518673784+08:00,k8s container-network drop  --container-names=ts-travel-service --network-traffic=out --kubeconfig=/root/.kube/config --namespace=default --names=ts-travel-service-86bc99b94f-2gdsr --destination-ip=10.244.36.105 --use-sidecar-container-network=true
b535bac4bc35ec0f,chaosblade,10.176.122.154,pod-pod-network-drop,ts-admin-order-service-77b645d88f-8lr2z 10.244.122.118,Destroyed,2022-12-02T13:50:01.305165085+08:00,2022-12-02T13:55:02.476582672+08:00,2022-12-02T13:50:01.305165085+08:00_2022-12-02T13:55:02.476582672+08:00,k8s container-network drop  --use-sidecar-container-network=true --namespace=default --network-traffic=out --names=ts-admin-order-service-77b645d88f-8lr2z --container-names=ts-admin-order-service --destination-ip=10.244.122.118 --kubeconfig=/root/.kube/config
17263d91ae165e4f,chaosblade,10.176.122.154,pod-pod-network-drop,ts-rebook-service-7d69b45f79-drk6h 10.244.36.105,Destroyed,2022-12-02T14:00:01.267105841+08:00,2022-12-02T14:05:02.5272367+08:00,2022-12-02T14:00:01.267105841+08:00_2022-12-02T14:05:02.5272367+08:00,k8s container-network drop  --destination-ip=10.244.36.105 --network-traffic=out --use-sidecar-container-network=true --namespace=default --names=ts-rebook-service-7d69b45f79-drk6h --container-names=ts-rebook-service --kubeconfig=/root/.kube/config
9585838c5b8f344c,chaosblade,10.176.122.154,pod-pod-network-drop,ts-basic-service-dc47b9966-vsq94 10.244.195.247,Destroyed,2022-12-02T14:10:01.260181847+08:00,2022-12-02T14:15:05.568965229+08:00,2022-12-02T14:10:01.260181847+08:00_2022-12-02T14:15:05.568965229+08:00,k8s container-network drop  --use-sidecar-container-network=true --container-names=ts-basic-service --network-traffic=out --names=ts-basic-service-dc47b9966-vsq94 --namespace=default --kubeconfig=/root/.kube/config --destination-ip=10.244.195.247
2d78b2cade522473,chaosblade,10.176.122.154,pod-pod-network-drop,ts-preserve-other-service-58bb58c679-f64jh 10.244.169.156,Destroyed,2022-12-02T14:20:01.117556867+08:00,2022-12-02T14:25:03.5160825+08:00,2022-12-02T14:20:01.117556867+08:00_2022-12-02T14:25:03.5160825+08:00,k8s container-network drop  --container-names=ts-preserve-other-service --names=ts-preserve-other-service-58bb58c679-f64jh --namespace=default --kubeconfig=/root/.kube/config --network-traffic=out --use-sidecar-container-network=true --destination-ip=10.244.169.156
3dd1418d19ba7b5b,chaosblade,10.176.122.154,pod-pod-network-drop,ts-rebook-service-7d69b45f79-drk6h 10.244.169.179,Destroyed,2022-12-02T14:30:01.295077015+08:00,2022-12-02T14:35:02.531163419+08:00,2022-12-02T14:30:01.295077015+08:00_2022-12-02T14:35:02.531163419+08:00,k8s container-network drop  --namespace=default --container-names=ts-rebook-service --kubeconfig=/root/.kube/config --network-traffic=out --destination-ip=10.244.169.179 --names=ts-rebook-service-7d69b45f79-drk6h --use-sidecar-container-network=true
