uid,tool,ip,fault_type,target,status,st_time,ed_time,filename,cmd
e1dc50c8dc6a07e2,chaosblade,10.176.122.162,api-delay,3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491 verifycode.controller.VerifyCodeController imageCode,Destroyed,2022-11-28T00:50:01.621789301+08:00,2022-11-28T00:50:32.731860079+08:00,2022-11-28T00:50:01.621789301+08:00_2022-11-28T00:50:32.731860079+08:00,cri jvm delay  --time=500 --classname=verifycode.controller.VerifyCodeController --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491 --pid=1 --methodname=imageCode
f7ac0512e4b709bd,chaosblade,10.176.122.162,api-exception,3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491 verifycode.controller.VerifyCodeController imageCode,Destroyed,2022-11-28T00:51:01.614829074+08:00,2022-11-28T00:51:33.845602168+08:00,2022-11-28T00:51:01.614829074+08:00_2022-11-28T00:51:33.845602168+08:00,cri jvm throwCustomException  --exception=java.lang.Exception --pid=1 --classname=verifycode.controller.VerifyCodeController --methodname=imageCode --chaosblade-release=/root/chaosblade/chaosblade-1.5.0-linux-amd64.tar.gz --container-id=3a9e08bb4c56b17190a1a8454825fabbf82a1a73b26557208d42848301c43491
29cd0fcd-f094-4240-bd73-8487edcf213f,chaosmesh,k8s-master,pod-http-request-delay,ts-admin-basic-info-service-595db5b9cf-49jhq,ok,2022-11-28T00:52:00,2022-11-28T00:52:30,2022-11-28T00:52:00_2022-11-28T00:52:30,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-delay.ts-admin-basic-info-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 30s\n  mode: one\n  path: '*'\n  port: 18767\n  selector:\n    labelSelectors:\n      app: ts-admin-basic-info-service\n    namespaces:\n    - default\n  target: Request\n
e1c49ee7-4a6a-47b0-9d50-37bf00df3f8b,chaosmesh,k8s-master,pod-http-request-abort,ts-admin-order-service-77b645d88f-lpfjb,ok,2022-11-28T00:53:00,2022-11-28T00:53:30,2022-11-28T00:53:00_2022-11-28T00:53:30,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: pod-http-request-abort.ts-admin-order-service\n  namespace: default\nspec:\n  abort: true\n  duration: 30s\n  mode: one\n  path: '*'\n  port: 16112\n  selector:\n    labelSelectors:\n      app: ts-admin-order-service\n    namespaces:\n    - default\n  target: Request\n
29c4694a-fe32-4fa6-801a-3e2c6998f849,chaosmesh,k8s-master,svc-http-request-delay,"ts-admin-route-service-77cd6cf987-c4nm7,ts-admin-route-service-77cd6cf987-jr88g",ok,2022-11-28T00:54:00,2022-11-28T00:54:30,2022-11-28T00:54:00_2022-11-28T00:54:30,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: svc-http-request-delay.ts-admin-route-service\n  namespace: default\nspec:\n  delay: 500ms\n  duration: 30s\n  mode: all\n  path: '*'\n  port: 16113\n  selector:\n    labelSelectors:\n      app: ts-admin-route-service\n    namespaces:\n    - default\n  target: Request\n
c2d55085-3b40-416c-b3fb-e9543da1d855,chaosmesh,k8s-master,svc-http-request-abort,"ts-admin-travel-service-d5c4d76b4-ffr8x,ts-admin-travel-service-d5c4d76b4-v9slv",ok,2022-11-28T00:55:00,2022-11-28T00:55:30,2022-11-28T00:55:00_2022-11-28T00:55:30,apiVersion: chaos-mesh.org/v1alpha1\nkind: HTTPChaos\nmetadata:\n  name: svc-http-request-abort.ts-admin-travel-service\n  namespace: default\nspec:\n  abort: true\n  duration: 30s\n  mode: all\n  path: '*'\n  port: 16114\n  selector:\n    labelSelectors:\n      app: ts-admin-travel-service\n    namespaces:\n    - default\n  target: Request\n
c7056a9473f87549,chaosblade,10.176.122.154,pod-pod-network-delay,ts-seat-service-bd95445c9-8qkjt 10.244.36.110,Destroyed,2022-11-28T00:56:01.586046425+08:00,2022-11-28T00:56:33.632758451+08:00,2022-11-28T00:56:01.586046425+08:00_2022-11-28T00:56:33.632758451+08:00,k8s pod-network delay  --namespace=default --time=500 --names=ts-seat-service-bd95445c9-8qkjt --kubeconfig=/root/.kube/config --interface=eth0 --destination-ip=10.244.36.110
0a1468825e431ef3,chaosblade,10.176.122.154,pod-pod-network-drop,ts-preserve-service-56548b8fd4-qh5ns 10.244.169.129,Destroyed,2022-11-28T00:57:01.285292673+08:00,2022-11-28T00:57:33.68123157+08:00,2022-11-28T00:57:01.285292673+08:00_2022-11-28T00:57:33.68123157+08:00,k8s container-network drop  --kubeconfig=/root/.kube/config --use-sidecar-container-network=true --container-names=ts-preserve-service --destination-ip=10.244.169.129 --network-traffic=out --names=ts-preserve-service-56548b8fd4-qh5ns --namespace=default
b2ffc9fb60d68ec6,chaosblade,10.176.122.154,svc-svc-network-delay,"ts-rebook-service-7d69b45f79-9hlb2,ts-rebook-service-7d69b45f79-dtfms 10.244.107.249,10.244.169.166",Destroyed,2022-11-28T00:58:01.475004689+08:00,2022-11-28T00:58:33.592974203+08:00,2022-11-28T00:58:01.475004689+08:00_2022-11-28T00:58:33.592974203+08:00,"k8s pod-network delay  --destination-ip=10.244.107.249,10.244.169.166 --kubeconfig=/root/.kube/config --namespace=default --interface=eth0 --names=ts-rebook-service-7d69b45f79-9hlb2,ts-rebook-service-7d69b45f79-dtfms --time=500"
6f2b88b9eb034810,chaosblade,10.176.122.154,svc-svc-network-drop,"ts-travel2-service-686c895647-s2jcx,ts-travel2-service-686c895647-tgd5d 10.244.169.152,10.244.195.193",Destroyed,2022-11-28T00:59:01.495795991+08:00,2022-11-28T00:59:36.624658952+08:00,2022-11-28T00:59:01.495795991+08:00_2022-11-28T00:59:36.624658952+08:00,"k8s container-network drop  --names=ts-travel2-service-686c895647-s2jcx,ts-travel2-service-686c895647-tgd5d --use-sidecar-container-network=true --network-traffic=out --container-names=ts-travel2-service --kubeconfig=/root/.kube/config --namespace=default --destination-ip=10.244.169.152,10.244.195.193"
